cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.276877,0.019853,0.018345,-0.257023,-0.258532,1207
2,5.166318,3.324618,3.17738,-1.8417,-1.988938,90
3,13.381153,4.352678,3.917784,-9.028475,-9.463369,13
4,3.658304,0.073441,0.04179,-3.584863,-3.616513,302
5,0.490983,10.997686,11.501991,10.506702,11.011008,33
6,0.16672,38.191612,39.153197,38.024892,38.986477,1
7,17.96993,14.259811,14.077354,-3.710119,-3.892577,33
8,0.988463,2.912023,3.031463,1.92356,2.043001,265
9,6.3033,8.295925,8.444537,1.992625,2.141237,59
10,0.325401,4.985577,5.187609,4.660176,4.862207,144
