layer,cs_fr_error_mean,cs_fr_error_std,cs_hi_error_mean,cs_hi_error_std,n_fr,n_hi
0,15.900769061870403,9.7718665239083,18.619896196626925,9.59485437438027,999,999
1,12.742212577147765,9.663946263709121,14.146738527296064,9.386380869412626,999,999
2,11.685632862724939,9.58902280545448,12.564598921660307,9.400989907703035,999,999
3,11.267454814385843,9.613342721768378,11.79287737482661,9.466146448196154,999,999
4,11.074874254556986,9.639408890952827,11.387762831496048,9.521720028062319,999,999
5,11.00579898326366,9.681756061476433,11.2476450683357,9.57971206579608,999,999
6,11.019425218169754,9.720739613830435,11.260936433965856,9.634432390075961,999,999
7,10.994723311415664,9.751242182467587,11.217135339647204,9.667881240481112,999,999
8,10.970816574297151,9.774543217299541,11.159571289180874,9.695385374390163,999,999
9,10.935792489333434,9.792568915705061,11.067166192872866,9.72781682824989,999,999
10,11.006007907865522,9.835177380224701,11.158523017341071,9.768501421105725,999,999
11,11.010830581128538,9.851386474061949,11.173576792200526,9.785155362428906,999,999
12,11.15468168258667,9.941986477764539,11.337329347331721,9.831124815001065,999,999
13,11.442293104824719,10.144158881731462,11.783508871172044,9.965887582501905,999,999
14,11.552797933001896,10.205375240219366,11.92774800877194,10.010348656181765,999,999
15,11.522854231737995,10.199238176016314,11.868779552114141,10.0168264107869,999,999
16,11.472186691887504,10.193122303970448,11.785152644366473,10.029101018738647,999,999
17,11.150649918688908,9.991312275692838,11.280416828734023,9.919447842390968,999,999
18,11.221575107421723,10.011663129814588,11.481233788204861,9.961150453356137,999,999
19,11.305347710877687,10.011723672719688,11.554643101639694,9.915896721981808,999,999
20,11.52595033254232,10.061633450357748,11.87955247269975,9.93041760076939,999,999
21,11.81835806143057,10.058040050112899,12.296298835131976,9.897576308613571,999,999
22,12.057220511966282,10.04785037870524,12.785956158413663,9.878623813802708,999,999
23,12.801400146923504,9.965096560744636,13.838642601494316,9.757570644905112,999,999
24,13.675084881119064,9.86248946739266,15.247275094250897,9.58084868741962,999,999
25,15.367113282849958,9.514912829634824,18.165560541926205,8.827693064615232,999,999
26,21.22925750533859,9.186049111724072,27.597165654729437,7.936304891795191,999,999
27,47.76522157953547,27.924290259018974,58.210707109850325,26.91630235206027,999,999
