layer,cs_condition,comparison,pair,cosine_mean,cosine_std,jaccard_mean,jaccard_std,n_sentences,n_matched_tok_mean
0,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.9884512059323423,0.008915468556077005,0.7024408981323278,0.061272445081189994,999,11.755755755755755
0,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.4193094467317259,0.1031370355879946,0.36083121307667676,0.017944818164993725,999,11.755755755755755
0,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.9874841851873083,0.007408657739138396,0.7163299050416062,0.066043950391609,999,17.904904904904903
0,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6775218473301755,0.12900499948623062,0.444363308258123,0.03385417074111439,999,17.904904904904903
1,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.9999834266272154,1.703111816533827e-05,0.8209343693754855,0.07370001964852885,999,11.755755755755755
1,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.9942989662006214,0.004388685581138334,0.31950505491651965,0.06346691987952935,999,11.755755755755755
1,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.9999789746554645,1.705905210949627e-05,0.8017720709465562,0.06601936463067067,999,17.904904904904903
1,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.9982417561151125,0.0016306081550128747,0.42492096972251414,0.0763563378973155,999,17.904904904904903
2,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.780256929101648,0.09644764952723921,0.6267035030440398,0.07425347392513747,999,11.755755755755755
2,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.4702067842056324,0.07519913292040813,0.43081200630542305,0.022744480075794653,999,11.755755755755755
2,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.8524827562473916,0.08792637621174927,0.6753684770160212,0.07339750585241839,999,17.904904904904903
2,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6212885452134235,0.10317495054794092,0.4974717588154488,0.038393568240154795,999,17.904904904904903
3,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.665183405663158,0.1291146752330129,0.5682198362373316,0.07996252503179224,999,11.755755755755755
3,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.37136221680281173,0.11610829250149966,0.4301688230297175,0.029954849150026087,999,11.755755755755755
3,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7825832511032665,0.10642249924640315,0.6389606153472461,0.0738128050544826,999,17.904904904904903
3,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.5817644672777813,0.1314472260311424,0.5137060960957086,0.047050651112794245,999,17.904904904904903
4,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.6085383464713713,0.1320109941391255,0.5582345675683968,0.07738402921586683,999,11.755755755755755
4,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.3188619956541275,0.12533003359446834,0.42585047391167835,0.037052702315663724,999,11.755755755755755
4,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.757144187753265,0.10991890899017308,0.6399219579831109,0.07325002861249257,999,17.904904904904903
4,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.5609329370362265,0.12282363025993495,0.5257554213618941,0.05081236176026038,999,17.904904904904903
5,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.6061663877319645,0.13021016536292507,0.5511770667663815,0.07859973160471546,999,11.755755755755755
5,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.4062794312576971,0.10831887297576835,0.46077162997066495,0.0369084436295949,999,11.755755755755755
5,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7626196167192182,0.10725001887264798,0.6394012535657496,0.07417642113652742,999,17.904904904904903
5,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.5950392546902249,0.11869148071223365,0.5398346239845845,0.05392249143530415,999,17.904904904904903
6,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.5835807281392472,0.1511685561027689,0.5372071555196366,0.08307816900271021,999,11.755755755755755
6,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.43051546887756587,0.1325839557201593,0.46377575073288424,0.03953185330525562,999,11.755755755755755
6,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7725900307640776,0.10966556262890516,0.6423139807351115,0.0726761255163046,999,17.904904904904903
6,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6299018860236183,0.12269260704549378,0.5540414768489581,0.05306691404502659,999,17.904904904904903
