layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,cs_hi,english,EN_in_cs_hi_vs_english,0.5067519153073748,0.06999403373681166,0.7151011386373499,0.15141969613065273,999
0,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.3621965209514862,0.017510583097751484,0.43170324801742377,0.10246359506914993,999
0,cs_fr,english,EN_in_cs_fr_vs_english,0.5554059895716242,0.06648793450312192,0.8406613674667385,0.0872012179183572,999
0,cs_fr,french,EN_in_cs_fr_vs_french,0.4605300992794082,0.03473699388129785,0.7289332172295472,0.09524244490302826,999
1,cs_hi,english,EN_in_cs_hi_vs_english,0.490589084323615,0.10750762620790456,0.9992903637456464,0.0007107683456087463,999
1,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.3225982408180861,0.06247713171211802,0.9943596767830299,0.0043451673518641615,999
1,cs_fr,english,EN_in_cs_fr_vs_english,0.5434432775414102,0.09599062899623856,0.9994701914959125,0.0005225667886005837,999
1,cs_fr,french,EN_in_cs_fr_vs_french,0.4416041447193775,0.07141185810287758,0.9983542333016763,0.001524131927236611,999
2,cs_hi,english,EN_in_cs_hi_vs_english,0.49809660464285427,0.061356506488488366,0.6190945258638164,0.14808156271396075,999
2,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4325003711640991,0.023271196013089822,0.47697667274866495,0.07388935251160204,999
2,cs_fr,english,EN_in_cs_fr_vs_english,0.5585229377573397,0.06221989844588992,0.7358842673184754,0.11590450860390779,999
2,cs_fr,french,EN_in_cs_fr_vs_french,0.515475369368257,0.0391423619066797,0.6619707495421618,0.09351917673868908,999
3,cs_hi,english,EN_in_cs_hi_vs_english,0.46793038871206233,0.061389583729568896,0.4660284717921988,0.17538034243110665,999
3,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.43371190386746866,0.02813219133935951,0.3853594717440066,0.10723505380735635,999
3,cs_fr,english,EN_in_cs_fr_vs_english,0.5512806170452418,0.06354205786717637,0.6584687814847365,0.13525443770841705,999
3,cs_fr,french,EN_in_cs_fr_vs_french,0.5329291932800467,0.04362659350103071,0.6286820611600448,0.10775093725031595,999
4,cs_hi,english,EN_in_cs_hi_vs_english,0.4721637047262957,0.05811312174125976,0.42230604324551363,0.15357390770856902,999
4,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4301847865966104,0.03376872969620574,0.3339179291113003,0.11256638422609064,999
4,cs_fr,english,EN_in_cs_fr_vs_english,0.5615387436143867,0.06188166535106844,0.6280503656726342,0.1290907814214735,999
4,cs_fr,french,EN_in_cs_fr_vs_french,0.5455606818071616,0.04534235420723694,0.6058446594604382,0.10105232942064044,999
5,cs_hi,english,EN_in_cs_hi_vs_english,0.4806643084037534,0.05830494234605312,0.45759060538119384,0.14460999059405577,999
5,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.46537760804681494,0.03367467258873781,0.41957522590865604,0.09778268571322073,999
5,cs_fr,english,EN_in_cs_fr_vs_english,0.5728589287350965,0.06242996617636181,0.6570535279638894,0.12046601172153867,999
5,cs_fr,french,EN_in_cs_fr_vs_french,0.5598368757148958,0.04802659461852057,0.6374092558892938,0.09673757253378927,999
6,cs_hi,english,EN_in_cs_hi_vs_english,0.47712982530810644,0.06170192849000574,0.45399545056109614,0.16350822842130885,999
6,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4684463931754212,0.036189778365673254,0.4456302006882769,0.11809612145037551,999
6,cs_fr,english,EN_in_cs_fr_vs_english,0.5809661821037579,0.060336981021910284,0.6783748851553933,0.12098148359876942,999
6,cs_fr,french,EN_in_cs_fr_vs_french,0.5744769830042771,0.04715464368561722,0.6728947916785041,0.09711790990716226,999
7,cs_hi,english,EN_in_cs_hi_vs_english,0.47517366490567986,0.05509617371733253,0.44132898895590156,0.1314508566388613,999
7,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4696629391072202,0.03467493424767297,0.44167301958022237,0.09586129563595602,999
7,cs_fr,english,EN_in_cs_fr_vs_english,0.5695978461768687,0.058158784193104544,0.6544435999474607,0.10856107697182558,999
7,cs_fr,french,EN_in_cs_fr_vs_french,0.5718596115556651,0.04749337795945078,0.6630669088961484,0.09024594166876405,999
8,cs_hi,english,EN_in_cs_hi_vs_english,0.4806329780980541,0.05399466359330108,0.4915164238339788,0.11414548140615281,999
8,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4904461392388122,0.03792703048628695,0.5101708060389644,0.08004451344855666,999
8,cs_fr,english,EN_in_cs_fr_vs_english,0.5730144595932934,0.05597143654491955,0.6879228120511239,0.09037249237552025,999
8,cs_fr,french,EN_in_cs_fr_vs_french,0.5807718746872479,0.04908416445651922,0.7020751374202209,0.08192447423481367,999
9,cs_hi,english,EN_in_cs_hi_vs_english,0.4875681307041893,0.055763008275965906,0.5441160263182284,0.11195245727485253,999
9,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.49826706065016413,0.038655311719985076,0.5481074168696418,0.08192375888539202,999
9,cs_fr,english,EN_in_cs_fr_vs_english,0.5870331765489836,0.05985257673942777,0.7376493936305767,0.0870043568883293,999
9,cs_fr,french,EN_in_cs_fr_vs_french,0.60137804939802,0.05328319207779304,0.7582198490012992,0.07867282132032964,999
10,cs_hi,english,EN_in_cs_hi_vs_english,0.4878783313889419,0.05606915267686167,0.44472281738474323,0.13996510545508092,999
10,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.488651171757728,0.039226571899386026,0.4596397640468838,0.10965435663926888,999
10,cs_fr,english,EN_in_cs_fr_vs_english,0.5847235396489354,0.056476482369178356,0.6748468898706608,0.10964490647823218,999
10,cs_fr,french,EN_in_cs_fr_vs_french,0.5903631984312561,0.04973377438943076,0.6858251536483163,0.0978770743726375,999
11,cs_hi,english,EN_in_cs_hi_vs_english,0.5092764094303946,0.054968124165656655,0.5096921448085878,0.12490566848047188,999
11,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5151709051624361,0.03718618366189378,0.49105413796546105,0.11038990568117107,999
