layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,cs_hi,english,EN_in_cs_hi_vs_english,0.4947493472578414,0.029944169344296955,0.8189649029417677,0.09779878008703707,999
0,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5428051404552988,0.01349803490651984,0.6039361660485273,0.05733196404741555,999
0,cs_fr,english,EN_in_cs_fr_vs_english,0.6117678174018025,0.05349968791018454,0.8899261024859814,0.06798549947186537,999
0,cs_fr,french,EN_in_cs_fr_vs_french,0.5513378995165524,0.035260936576420994,0.7720415865157818,0.09532829293114026,999
1,cs_hi,english,EN_in_cs_hi_vs_english,0.6877867407630422,0.07896941507158935,0.9998365613194676,0.00011094986367735833,999
1,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5377934510961135,0.043019812108001106,0.9981051966831371,0.0007832963190273469,999
1,cs_fr,english,EN_in_cs_fr_vs_english,0.7784090636887344,0.07141558070637746,0.9998964326040404,9.081386193920968e-05,999
1,cs_fr,french,EN_in_cs_fr_vs_french,0.6605507589228263,0.08923240831715218,0.9996615271787863,0.00030360206284543083,999
2,cs_hi,english,EN_in_cs_hi_vs_english,0.3855530674911367,0.025336637490535576,0.3182736242616976,0.09147509127457105,999
2,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5568600776228669,0.01801299812957659,0.6544807596547945,0.031185656065713628,999
2,cs_fr,english,EN_in_cs_fr_vs_english,0.5146484409099018,0.06310761361203893,0.6815412153561672,0.14239315764678007,999
2,cs_fr,french,EN_in_cs_fr_vs_french,0.4728803852406476,0.04026888561580257,0.5931904512691546,0.1068639569916204,999
3,cs_hi,english,EN_in_cs_hi_vs_english,0.3742601757037882,0.029664267881109714,0.26995907251716583,0.10026475066547895,999
3,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5058174904518079,0.016391652315939906,0.5615769751198418,0.038968940671270554,999
3,cs_fr,english,EN_in_cs_fr_vs_english,0.513692442409488,0.0627110440777901,0.6087561863529551,0.14512075400358082,999
3,cs_fr,french,EN_in_cs_fr_vs_french,0.4758168786147609,0.03759750107249856,0.5594891125729701,0.11039839305978767,999
4,cs_hi,english,EN_in_cs_hi_vs_english,0.37835158217984644,0.03062584699759321,0.2295601060567377,0.0896931295011399,999
4,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5162541689637237,0.017765853200515453,0.5297880431672594,0.035310753180213574,999
4,cs_fr,english,EN_in_cs_fr_vs_english,0.5317124052948194,0.05825917324654617,0.612955557236502,0.12740124311465223,999
4,cs_fr,french,EN_in_cs_fr_vs_french,0.5135577587942263,0.04026615616920044,0.5873988267403465,0.1010988112591554,999
5,cs_hi,english,EN_in_cs_hi_vs_english,0.4072535028294898,0.03494058828987149,0.27658597456740663,0.1014897047687154,999
5,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5428023108135851,0.021845480034363967,0.5742048808672765,0.042724716609083405,999
5,cs_fr,english,EN_in_cs_fr_vs_english,0.5668175207940996,0.06195384522732139,0.6547627905020127,0.12882585057519436,999
5,cs_fr,french,EN_in_cs_fr_vs_french,0.558967757111285,0.048484515073511744,0.6413953635576848,0.10622677069174441,999
6,cs_hi,english,EN_in_cs_hi_vs_english,0.4138163964276997,0.03384893823243362,0.2899288878486202,0.1044184979226587,999
6,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5580399739738998,0.022848102067200875,0.5979027624901112,0.04151209039652814,999
6,cs_fr,english,EN_in_cs_fr_vs_english,0.5564616466622617,0.0597442673408516,0.6422058685614659,0.12204949920377495,999
6,cs_fr,french,EN_in_cs_fr_vs_french,0.5484243485598755,0.04550913782247535,0.6319061185981896,0.10597619724326003,999
7,cs_hi,english,EN_in_cs_hi_vs_english,0.43819829693117784,0.03674785112509603,0.37637120709046945,0.10066176756032438,999
7,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5676307652952682,0.02392447999705582,0.6433480431785336,0.04113984815724936,999
7,cs_fr,english,EN_in_cs_fr_vs_english,0.580244134734137,0.06454532108805695,0.6883097899652593,0.11896637492280575,999
7,cs_fr,french,EN_in_cs_fr_vs_french,0.5827671843295003,0.0516393124319155,0.6931303439958317,0.09706376637217495,999
8,cs_hi,english,EN_in_cs_hi_vs_english,0.4330528368363487,0.03318443849881347,0.28490047421850806,0.09934013355494897,999
8,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5773201896418414,0.028066575709148556,0.6503794570047934,0.050066732034213995,999
8,cs_fr,english,EN_in_cs_fr_vs_english,0.5642996679597454,0.06015848686939467,0.6467705680294199,0.11205979550836637,999
8,cs_fr,french,EN_in_cs_fr_vs_french,0.5670338230265869,0.04973568007900387,0.6583304648642784,0.09654392413265968,999
9,cs_hi,english,EN_in_cs_hi_vs_english,0.45409162313567697,0.03271421700500127,0.4090480210634323,0.08880518094881763,999
9,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5901021156801827,0.026945442259610014,0.7099446118534267,0.04440673983200805,999
9,cs_fr,english,EN_in_cs_fr_vs_english,0.5699386943367408,0.06242030565025631,0.6601056562693747,0.1223362816979881,999
