layer,cs_fr_error_mean,cs_fr_error_std,cs_hi_error_mean,cs_hi_error_std,n_fr,n_hi
0,0.16773100190602983,0.1159307445185602,0.1857028606462407,0.10472026137454221,999,999
1,5.673109371382911,5.183900786901975,5.68848931371748,5.1848161675608,999,999
2,5.689426313888084,5.175062711847691,5.757911979615152,5.182238771156326,999,999
3,5.714799456768207,5.172294939769735,5.801755775441159,5.179445773515399,999,999
4,5.748280119848204,5.169964021450648,5.862624621964073,5.17260297339922,999,999
5,5.7468960810232685,5.161381785336274,5.852739861419609,5.166096024229302,999,999
6,5.706520023765984,5.133578588345073,5.881418761429009,5.167554355699794,999,999
7,5.707215927503966,5.124976301606747,5.934492278385449,5.157013717129532,999,999
8,5.70788196758465,5.081503177916511,6.046795679880931,5.163383190139933,999,999
9,5.747509050178337,5.077995036743841,6.0491016412282494,5.166207309784225,999,999
10,5.80699704060922,5.077496374776677,6.169869863712513,5.155501390898082,999,999
11,5.887165301912898,5.0869510846914165,6.3021866017514405,5.13210219978396,999,999
12,5.927784875467852,5.087460543779082,6.362064742469215,5.11767367268888,999,999
13,6.035497516125172,5.080313527446359,6.5288142783267125,5.093853631518643,999,999
14,6.145109980194657,5.080220987273633,6.615404664097844,5.070513269685319,999,999
15,6.253956533767082,5.089167523950245,6.795454302588263,5.014707046218711,999,999
16,6.358881879019904,5.075347005350795,6.982335827372095,4.950481420773045,999,999
17,6.652617293673831,5.081813756115006,7.20292531429707,4.907643943690926,999,999
18,7.036012562903556,5.069827784431143,7.987424590804794,4.775868410257174,999,999
19,7.610902720385486,5.1581191081674165,8.794609549525264,4.678924844107515,999,999
20,8.28107237386274,5.210838678898219,9.737223930664369,4.589436289811298,999,999
21,8.7319578475303,5.199130873346406,10.719452912862355,4.503526614015533,999,999
22,9.138180007686367,5.183679057028374,11.468532427175864,4.4966568066515915,999,999
23,9.765535975123072,5.106301946795863,12.777807738807228,4.424816480485449,999,999
24,10.379088946887562,5.06791293628464,13.975835840265313,4.349334371155356,999,999
25,11.218346285987067,5.0219576726433255,14.994789501568219,4.3159433860289305,999,999
26,11.94524427314659,5.011626970527033,16.29550792457344,4.25827009035013,999,999
27,13.249963187121296,4.889385203014277,18.01832324630386,4.132255345506669,999,999
28,14.345550381027543,4.902740214383847,18.99707256542431,4.022000391143368,999,999
29,16.19444621528114,4.932591098537095,24.076135835848056,3.7342703249808076,999,999
30,18.12144163969878,4.621308084951881,27.870022889252777,3.117257926999545,999,999
31,23.269437388018208,6.5309197673994674,43.05152584912183,4.951847456599242,999,999
