layer,cs_condition,comparison,pair,cosine_mean,cosine_std,jaccard_mean,jaccard_std,n_sentences,n_matched_tok_mean
0,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.30611456859040187,0.08623965974019492,0.37877460141593944,0.02204694698735506,999,11.558558558558559
0,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.7780639972832348,0.1328946200217871,0.6287063788391154,0.0880471395820504,999,11.558558558558559
0,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7022208371558586,0.11971104679436488,0.5144974816026898,0.07716015642747999,999,17.504504504504503
0,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7366213751089824,0.10123245196134552,0.542411045772966,0.06166791330397937,999,17.504504504504503
1,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.8228095775848633,0.0475176188295146,0.4174572511137486,0.030141170807191153,999,11.558558558558559
1,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.8222735707943624,0.07914208169753356,0.5278865056959838,0.08894059365621315,999,11.558558558558559
1,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.90637479828404,0.04885657485019281,0.5362318048924519,0.08087753685095286,999,17.504504504504503
1,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.8711649589352422,0.038245462826103804,0.5450737386074939,0.05507568700684917,999,17.504504504504503
2,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.2479526556905236,0.10664932666301345,0.3777542196703513,0.025336797220857365,999,11.558558558558559
2,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.6235950681379995,0.16201949016406475,0.5344292243779243,0.06454355248921946,999,11.558558558558559
2,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.6127865195108412,0.18759975809853033,0.4846914618212975,0.07724635544397497,999,17.504504504504503
2,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6421178874682758,0.18774394643192396,0.5104516005793399,0.055574444270857684,999,17.504504504504503
3,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.9994420990929589,0.00010846340218021905,0.5956190712284414,0.0277604649733977,999,11.558558558558559
3,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.9934020390262356,0.0030626218862987793,0.5079010014031495,0.05106414944230213,999,11.558558558558559
3,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.9996154903172253,0.0001558869807609588,0.6737472374942535,0.0809830113665561,999,17.504504504504503
3,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.9994729806830337,0.0004286281211422002,0.6868821078097793,0.07576825624621548,999,17.504504504504503
4,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.9966425481620613,0.004340536606786615,0.7641577273033363,0.11344363781194464,999,11.558558558558559
4,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.7977659399206335,0.07429916626252177,0.41685021238164593,0.056401392830969455,999,11.558558558558559
4,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.9978087500886278,0.0018912451420258721,0.7882259663859289,0.075893737222233,999,17.504504504504503
4,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.9697483887782207,0.02167723839308134,0.5612566648806985,0.06543302809723929,999,17.504504504504503
5,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.8984701275467515,0.09120518080905152,0.5088190539224756,0.13062264959874853,999,11.558558558558559
5,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.4904734357609763,0.1287399586258277,0.4518105060366676,0.08214048263401436,999,11.558558558558559
5,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.9664470183479416,0.020079271804904146,0.6039516669745341,0.08455229672917414,999,17.504504504504503
5,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.8658381844306732,0.05100816009120659,0.5112283246485463,0.06842527781831373,999,17.504504504504503
6,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.7177487226630522,0.2617646597588709,0.46985818076133773,0.11828127481094575,999,11.558558558558559
6,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,-0.07163480511114646,0.34613275642350855,0.46761727883669907,0.08493090049273551,999,11.558558558558559
6,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.8469378830076338,0.108621531951349,0.551019650508957,0.08264803169777954,999,17.504504504504503
6,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.39590582603692737,0.20941322072880936,0.5010046016129265,0.054475661796343416,999,17.504504504504503
7,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.6670942494461128,0.22080120321620902,0.4249517898164898,0.09113174850811372,999,11.558558558558559
7,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.43756237340805765,0.16779341346527174,0.49222878693770533,0.0726596941027699,999,11.558558558558559
7,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.755237985659648,0.11724919538174074,0.5359086828106098,0.07975655766869968,999,17.504504504504503
7,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6180558884525681,0.10632893182855493,0.5337659251430927,0.05464596790603109,999,17.504504504504503
8,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.6588306693104772,0.17612843361293043,0.4144170009109234,0.08299842263488101,999,11.558558558558559
8,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.5908245456827296,0.15825899016105835,0.5131042248118283,0.07206770830818289,999,11.558558558558559
8,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7580963586185787,0.09907242126210748,0.532635986363768,0.08216144992056335,999,17.504504504504503
8,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7157048590787061,0.08836107068986038,0.5453871541248095,0.05757311526172423,999,17.504504504504503
9,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.7856586138765376,0.15295576693281815,0.49104833419181687,0.08696326783996619,999,11.558558558558559
9,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.44399452743188544,0.20651769385326824,0.5465919826845749,0.08893623885522586,999,11.558558558558559
9,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.869384168743252,0.05898550991108844,0.6196396479919207,0.07019793282635964,999,17.504504504504503
9,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7028592523705732,0.15451784011992153,0.6188569535253682,0.07681995423708232,999,17.504504504504503
10,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.529779017530941,0.19767903648685356,0.42519548242412875,0.07976248880843913,999,11.558558558558559
10,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.6636579071467107,0.10386716035551709,0.5386252238888681,0.06777485896112001,999,11.558558558558559
10,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7290930593156958,0.09422399652258712,0.5749203950935092,0.08166307512913673,999,17.504504504504503
10,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7422392641280865,0.08139186727607521,0.5966798636166887,0.0673346912949073,999,17.504504504504503
11,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.7849365345261119,0.19655256156332288,0.45186475385794694,0.08639569648620098,999,11.558558558558559
11,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.20201791425597868,0.2362514407125517,0.5080378679413236,0.07517641052524325,999,11.558558558558559
11,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.84424794269157,0.10125060092057693,0.5772218451616348,0.07709659023164546,999,17.504504504504503
11,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6569884312399724,0.15358052456978954,0.5793820855234313,0.06692941091178288,999,17.504504504504503
12,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.7077814239012944,0.23969771330022563,0.4436136164170296,0.0898599689056024,999,11.558558558558559
12,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,-0.03327071406513553,0.35856191906758744,0.5076935005817437,0.08291380069476312,999,11.558558558558559
12,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.8179192250674671,0.10713285391019647,0.5726985952538363,0.077287572120906,999,17.504504504504503
12,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.5423776532600945,0.21800683187659378,0.5742186968129829,0.0694059802584147,999,17.504504504504503
13,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.6212412833988488,0.19133759671069472,0.4474446402613255,0.07906734661496732,999,11.558558558558559
13,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.5109864305549845,0.1879854096821818,0.5322289589458622,0.0783696344544505,999,11.558558558558559
13,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7878300233765527,0.08172889197985311,0.6019466564468953,0.08098074840690463,999,17.504504504504503
13,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7757123420993846,0.09787332335876839,0.6249084390000056,0.07377454437041435,999,17.504504504504503
14,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.3920543809254487,0.18070334076114153,0.4125384972410895,0.0782532269669275,999,11.558558558558559
14,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.52761222055001,0.2225536350560302,0.5587291007810705,0.0795611662298219,999,11.558558558558559
14,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.6852972102356149,0.1102445128863129,0.5707027316052893,0.08155495761278507,999,17.504504504504503
14,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6958490460616974,0.1321815530706421,0.59761027187229,0.069779310115388,999,17.504504504504503
15,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.4785172437225376,0.19333758083915803,0.41006476952533494,0.08057226387173902,999,11.558558558558559
