layer,cs_fr_error_mean,cs_fr_error_std,cs_hi_error_mean,cs_hi_error_std,n_fr,n_hi
0,4.212362627128701,1.409762460794387,7.66630511002259,1.6008967644109429,999,999
1,5.973771402666399,2.2962858524927903,9.957117986631346,2.23498471392612,999,999
2,8.077905246803352,2.9714333720202255,13.995690202569818,3.0076706494880705,999,999
3,173.52297451641707,180.77166974346684,175.3593336302,180.41370546120132,999,999
4,196.5594170563691,205.50529014075795,198.98857981974894,205.14591877552323,999,999
5,200.36624958851675,209.31201317651875,204.7053040971269,208.68543185570044,999,999
6,204.41873131142006,212.47581284912002,210.8721378696812,211.5458012024666,999,999
7,206.26692088206372,214.33645044449707,212.91813083072086,213.38606677515537,999,999
8,207.33961117565931,215.6911668888597,213.85929736193714,214.79871477521357,999,999
9,210.77744025916786,219.0211466484314,218.42610801185097,217.92629829855167,999,999
10,211.21625847573037,219.66688230892703,218.4602029741228,218.92130448862204,999,999
11,214.27856643111616,222.7779971199456,221.60746912531428,222.10620394290174,999,999
12,216.6801525761296,225.6482374985134,224.02358630756,224.91016003122488,999,999
13,217.82440198147978,226.4578558436757,224.48799519734578,225.78152830325945,999,999
14,218.1563897538591,226.9250011940245,225.40737070383372,226.01275696409604,999,999
15,218.7992932545888,227.41048037709962,227.25591917295714,226.69386773741084,999,999
16,218.69553898762655,227.3624470476215,227.23136536041656,226.58871549263299,999,999
17,219.15259295397692,227.50097500501877,227.65742355209213,226.61679034320738,999,999
18,217.74981291181928,226.97274086010893,225.9622260276023,225.94192426391922,999,999
19,219.87842202783227,226.61573350975826,229.57535689681382,225.08451381346288,999,999
20,219.9352389307948,224.78640126898063,230.77908792581644,222.85620031406071,999,999
21,224.25355487781482,223.679176111227,234.6961792648972,221.20489218604703,999,999
22,228.04620226152667,221.8499236894506,244.50277622898778,218.7009289522559,999,999
23,237.18007140593963,218.78194656425504,267.96402789355517,215.2816769600002,999,999
24,248.85254050589896,212.8181566552258,296.4536486865283,208.72040487021482,999,999
25,266.50168069681007,204.71814654921542,309.4597651087367,201.16691152704263,999,999
26,209.96820982512054,72.12340899214436,258.0474021231925,63.98848468176729,999,999
27,386.9027446636089,85.42738132641708,547.1608137373213,120.03880666903949,999,999
