layer,jaccard_mean,jaccard_std,n
0,0.4472212559426533,0.014203507012432542,999
1,0.4993681799518794,0.022196198712043348,999
2,0.4352313308592502,0.018756401613782073,999
3,0.45482193271991317,0.023808482506521855,999
4,0.454620492669045,0.027229497221774663,999
5,0.442956598796288,0.022699334724904024,999
6,0.40977077992081185,0.018102367598952944,999
7,0.4235820454726067,0.01953326055717091,999
8,0.4515417075597592,0.023252691356257033,999
9,0.5156402829043879,0.03135245309509201,999
10,0.48572455819609855,0.030508680374332298,999
11,0.49478128837042296,0.0319667216741495,999
12,0.476181186353791,0.029569443637405955,999
13,0.5234894425079135,0.03651137920812761,999
14,0.48716033574287376,0.031099232965914308,999
15,0.4842380903573773,0.03012119612573103,999
16,0.48244310447436106,0.028890806960298977,999
17,0.4582638276579384,0.02610351685806631,999
18,0.47692150139850414,0.027850662966338077,999
19,0.4102968896853944,0.01909918273046262,999
20,0.4228242852647369,0.017797764354671577,999
21,0.4330993619021753,0.021416125711739228,999
22,0.43353075657582213,0.02016265844758952,999
23,0.4397730292532195,0.019945923198719396,999
24,0.4223198138781583,0.015750217207736367,999
25,0.42421169556996224,0.016473105848585832,999
26,0.4278800889396136,0.01771751460177915,999
27,0.436029977339819,0.018588920565004986,999
