layer,rsa_r,rsa_p,n
0,0.6220070901065631,0.0,999
1,0.4193101947503194,0.0,999
2,0.6295106768174679,0.0,999
3,0.4303173058862709,0.0,999
4,0.40004561638549074,0.0,999
5,0.236695058961133,0.0,999
6,0.48503090602299775,0.0,999
7,0.4862604019115779,0.0,999
8,0.4261945149969446,0.0,999
9,0.5077863612697933,0.0,999
10,0.48652425167936325,0.0,999
11,0.3779281079771009,0.0,999
12,0.4449128034643217,0.0,999
13,0.4637615589398904,0.0,999
14,0.5738875075132029,0.0,999
15,0.2654034256781601,0.0,999
16,0.6156739305239076,0.0,999
17,0.6896168717080665,0.0,999
18,0.6291771409947584,0.0,999
19,0.6547566010084551,0.0,999
20,0.6640399734271134,0.0,999
21,0.6084476489335895,0.0,999
22,0.5712560050402761,0.0,999
23,0.6096559429410529,0.0,999
24,0.6405650290686452,0.0,999
25,0.5559078394639486,0.0,999
26,0.21598078394029716,0.0,999
27,0.28356178807279336,0.0,999
